occupation_code,occupation_desc,occupation_code_norm
SKINNER,Single '~,SKINNER
SKR,Sgl,SKR
SL,Ctr,SL
SLBR,Slt,SLBR
SLD,Sdwm,SLD
SLMKR,Slr,SLMKR
SLOBER,Slater,SLOBER
SLPL,Swvr,SLPL
SLSMN,Slmk,SLSMN
SMACH,Svnt,SMACH
SMD,S.Ml,SMD
SMIDTH,Smelter,SMIDTH
SMKR,Stlr,SMKR
SMNFTR,Sdyr,SMNFTR
SMSTS,Semn,SMSTS
SOAP,... Boiler,SOAP
SODA,Maker Water,SODA
SPINNER,Soldier Solicitor Speculator,SPINNER
SPM,Spb,SPM
SPNR,Spec,SPNR
SPNTR,".,F",SPNTR
SPRTMN,Sp,SPRTMN
SSPNR,Smcht,SSPNR
STAMP,Spinster Sportsman Springmaker Stableman Maker,STAMP
STARCH,Ma.Ker,STARCH
STATUARY,Statesman Stationer,STATUARY
STAY,Maker,STAY
STCTR,Stb,STCTR
STCWKR,Stclr,STCWKR
STDRS,Stwst Stma.Kr,STDRS
STELL,Maker,STELL
STEWARD,Stenographer Stevedore,STEWARD
STHMKR,Stamkr,STHMKR
STICK,Stwedardess Steward'S-Of-Room Steward-Of-The-Stores Maker,STICK
STIFF,Stickdresser Presser,STIFF
STK,Wrhwk,STK
STKB,Stprs,STKB
STKG,Stk,STKG
STKM,Stkmkr,STKM
STKPR,Stcl J(,STKPR
STKW,Stkr,STKW
STLMN,Spmk,STLMN
STMSN,Stdlr,STMSN
STNER,Stmn,STNER
STNG,Stmkr,STNG
STNR,Stplh,STNR
STOCK,Broker,STOCK
STOCKMAN,1,STOCKMAN
STOKER,Stocking,STOKER
STONE,Stoker-Gas Breaker,STONE
STORE,Stoner Clerk,STORE
STOVE,Storekeeper Manufacturer,STOVE
STPR,Stvmn,STPR
STR,Sup,STR
STRAP,Presser,STRAP
STREET,Cleaner,STREET
STUCCO,Worker,STUCCO
STUDENT,Medical Medical,STUDENT
STWD,Stws,STWD
SUBDUER,Student,SUBDUER
SUGAR,Refiner,SUGAR
SUGF,Sugb,SUGF
SUPER,"Superattendent ,,, Cargo",SUPER
SURGEON,.,SURGEON
